key	series	other_name	smile	pure	cool	mental	rarity	center_skill_condition	raw_center_skill_text	raw_skill_text	ap	center_ability_text
kaho	Colorfulness	夕霧綴理	4300	5000	5300	460	ur				100	
kaho	桃節銘記	夕霧綴理	4500	5400	4700	460	ur				100	
kaho	抱きしめる花びら	夕霧綴理	3500	5700	5300	470	ur				100	
kaho	レディバグ	夕霧綴理	3800	4800	5500	510	ur				100	
kaho	Proof	夕霧綴理	5150	5900	3200	495	ur				100	
kaho	福音の銀河へ	夕霧綴理	4000	6100	4200	490	ur				100	
kaho	バアドケージ	夕霧綴理	3400	6000	5200	460	ur				100	
kaho	102/R.B.P.	夕霧綴理	3400	5600	5500	470	ur				100	
kaho	KEY of Like！	夕霧綴理	4800	6400	4600	540	ur				100	
kaho	AURORA FLOWER	夕霧綴理	5300	5300	5300	530	ur				100	
kaho	COMPASS	夕霧綴理	4450	4700	5500	455	ur				100	
kaho	いつでも、いつまでも	夕霧綴理	4300	4700	5500	470	ur				100	
kaho	幸せのリボン	夕霧綴理	4800	4300	7100	500	lr				100	
kaho	Prism Echo	夕霧綴理	5200	5600	6400	600	dr				100	
kaho	Ether Aria	夕霧綴理	5200	7000	5400	560	dr				100	
kaho	18th Birthday	夕霧綴理	4800	4800	4800	480	dr2				100	
sayaka	Dream Believers	藤島慈	4800	5200	4400	480	ur				100	
sayaka	夏めきペイン	藤島慈	5400	4350	4150	530	ur				100	
sayaka	アイデンティティ	藤島慈	4800	5200	4200	500	ur				100	
sayaka	約束の舞踏会	藤島慈	4600	5900	3200	550	ur				100	
sayaka	Au Bord du Lac	藤島慈	4000	5200	4900	510	ur				100	
sayaka	喫茶ハスノソラ	藤島慈	5400	5100	4100	460	ur				100	
sayaka	ツバサ・ラ・リベルテ	藤島慈	4000	5600	5000	460	ur				100	
sayaka	冬のおくりもの	藤島慈	5500	4800	3700	520	ur				100	
sayaka	Secret Christmas	藤島慈	5000	3800	5600	480	ur				100	
sayaka	蓮ノ空歌留多	藤島慈	4450	4750	5100	490	ur				100	
sayaka	ハクチューアラモード	藤島慈	5400	4300	4100	540	ur				100	
sayaka	ハッピー至上主義！	藤島慈	5900	4800	3900	460	ur				100	
sayaka	おしえて♡ティーチャー	藤島慈	4100	4400	5500	520	ur				100	
sayaka	抱きしめる花びら	藤島慈	3200	6200	5100	470	ur				100	
sayaka	365 Days	藤島慈	5450	4500	3850	540	ur				100	
sayaka	みらくりえーしょん	藤島慈	4800	5700	3500	520	ur				100	
sayaka	PASSION!!!!!!	藤島慈	3400	5700	5200	490	ur				100	
sayaka	DEEPNESS	藤島慈	4500	4150	6050	450	ur				100	
sayaka	ファンファーレ！！！	藤島慈	5600	5000	3700	490	ur				100	
sayaka	久遠の銀河へ	藤島慈	6000	4100	4000	510	ur				100	
sayaka	ジョーショーキリュー	藤島慈	3800	4100	5900	540	ur				100	
sayaka	KEY of Like！	藤島慈	4600	6600	4500	550	ur				100	
sayaka	全方位キュン♡	藤島慈	4900	5600	3500	520	ur				100	
sayaka	いつでも、いつまでも	藤島慈	4400	5500	4400	490	ur				100	
sayaka	やっぱ天使！	藤島慈	4650	7150	4000	540	lr				100	
sayaka	Prism Echo	藤島慈	6400	6000	5200	560	dr				100	
sayaka	Ether Aria	藤島慈	6800	5300	5100	600	dr				100	
sayaka	18th Birthday	藤島慈	4800	4800	4800	480	dr2				100	
izumi	Dream Believers	日野下花帆	4800	5600	4000	480	ur				100	
izumi	春色ニューデイズ	日野下花帆	4600	5250	4350	500	ur				100	
izumi	薫風の調べ	日野下花帆	4900	5200	4400	470	ur				100	
izumi	Rose Garden	日野下花帆	4500	5600	4400	470	ur				100	
izumi	Holiday∞Holiday	日野下花帆	4700	5200	4700	460	ur				100	
izumi	フォーチュンムービー	日野下花帆	5450	4750	4500	450	ur				100	
izumi	ペンギンアイス	日野下花帆	4800	5250	4450	470	ur				100	
izumi	眩耀夜行	日野下花帆	5200	4600	4300	510	ur				100	
izumi	SPLASH!!!!	日野下花帆	4500	5000	4100	560	ur				100	
izumi	夏めきペイン	日野下花帆	5200	4600	4400	500	ur				100	
izumi	ゆのくにガールズ！	日野下花帆	5100	4900	4200	500	ur				100	
izumi	Trick ＆ Cute	日野下花帆	5000	3800	5500	490	ur				100	
izumi	喫茶ハスノソラ	日野下花帆	5300	5200	4200	450	ur				100	
izumi	コットン=ユートピア	日野下花帆	4100	5200	4700	520	ur				100	
izumi	Link to the FUTURE	日野下花帆	6200	5500	4100	540	ur				100	
izumi	Special Thanks	日野下花帆	4800	5500	4000	490	ur				100	
izumi	蓮ノ空歌留多	日野下花帆	3700	5000	5500	500	ur				100	
izumi	lucky train!	日野下花帆	4600	4500	5400	470	ur				100	
izumi	軌跡の舞踏会	日野下花帆	6400	4800	3300	470	ur				100	
izumi	春風ブランコ	日野下花帆	5200	4900	4200	490	ur				100	
izumi	H.S.C.T.☆	日野下花帆	5100	4900	3900	530	ur				100	
izumi	アオクハルカ	日野下花帆	4400	5300	4300	520	ur				100	
izumi	月夜見海月	日野下花帆	4500	5000	5300	440	ur				100	
izumi	ハナムスビ	日野下花帆	5900	4200	4100	500	ur				100	
izumi	103/ASTERISM	日野下花帆	5700	5500	3500	450	ur				100	
izumi	AURORA FLOWER	日野下花帆	5300	5300	5300	530	ur				100	
izumi	ユメワズライ	日野下花帆	5100	4700	4600	480	ur				100	
izumi	Celebration!	日野下花帆	6050	4450	4000	470	ur				100	
izumi	Her-bath-rium	日野下花帆	5500	5000	3800	490	ur				100	
izumi	アイドゥーミー！	日野下花帆	5000	5200	5800	520	ur				100	
izumi	フルーツパンチ	日野下花帆	6300	4950	3050	490	ur				100	
izumi	可惜夜花火	日野下花帆	3800	5000	5500	490	ur				100	
izumi	想造の地平から	日野下花帆	6300	4400	3500	500	ur				100	
izumi	乙女詞華集	日野下花帆	5050	5950	3100	510	ur				100	
izumi	Prism Echo	日野下花帆	6400	6000	5200	560	dr				100	
izumi	Ether Aria	日野下花帆	7200	5600	4700	570	dr				100	
izumi	Oracle Étude	日野下花帆	0	0	0	0	dr				0	
izumi	17th Birthday	日野下花帆	4800	4800	4800	480	dr2				100	
izumi	18th Birthday	日野下花帆	4800	4800	4800	480	dr2				100	
char_1032	Dream Believers	村野さやか	4900	4200	5700	440	ur				100	
char_1032	スケイプゴート	村野さやか	4500	4900	5200	460	ur				100	
char_1032	薫風の調べ	村野さやか	4600	5100	4600	490	ur				100	
char_1032	Rose Garden	村野さやか	4400	5450	5250	410	ur				100	
char_1032	ツキマカセ	村野さやか	3900	5600	5100	460	ur				100	
char_1032	雨と紫陽花に唄へば	村野さやか	5200	4450	5050	450	ur				100	
char_1032	朝顔令嬢	村野さやか	4500	4300	5500	490	ur				100	
char_1032	Mirage Voyage	村野さやか	4700	5200	4400	490	ur				100	
char_1032	ドルフィン〰ビーチ	村野さやか	5400	4400	5000	440	ur				100	
char_1032	SPLASH!!!!	村野さやか	4050	5000	4500	565	ur				100	
char_1032	ゆのくにガールズ！	村野さやか	5100	4600	4400	510	ur				100	
char_1032	宇宙警察★うさぴょん	村野さやか	4700	5300	4300	490	ur				100	
char_1032	喫茶ハスノソラ	村野さやか	5500	4100	5000	460	ur				100	
char_1032	Secret Christmas	村野さやか	4900	3900	5500	490	ur				100	
char_1032	Link to the FUTURE	村野さやか	6000	5300	4300	560	ur				100	
char_1032	青とシャボン	村野さやか	4000	4600	5700	490	ur				100	
char_1032	蓮ノ空歌留多	村野さやか	3900	4800	5600	490	ur				100	
char_1032	真実の舞踏会	村野さやか	4300	3400	6600	490	ur				100	
char_1032	レディバグ	村野さやか	3550	4800	5650	520	ur				100	
char_1032	織姫草紙	村野さやか	3900	4800	5700	480	ur				100	
char_1032	Proof	村野さやか	5000	6000	3200	500	ur				100	
char_1032	紅葉乃舞姫	村野さやか	4900	5600	3800	490	ur				100	
char_1032	バアドケージ	村野さやか	3600	5800	5200	460	ur				100	
char_1032	聖夜譚	村野さやか	4500	5300	4600	480	ur				100	
char_1032	AURORA FLOWER	村野さやか	5300	5300	5300	530	ur				100	
char_1032	Her-bath-rium	村野さやか	5400	5100	4000	470	ur				100	
char_1032	アンペア	村野さやか	4400	4000	6200	460	ur				100	
char_1032	アイドゥーミー！	村野さやか	5100	5800	5100	520	ur				100	
char_1032	太陽であれ！	村野さやか	3300	5500	5700	470	ur				100	
char_1032	醒悟の地平から	村野さやか	3700	4200	6300	500	ur				100	
char_1032	Prism Echo	村野さやか	5200	6400	5600	600	dr				100	
char_1032	Ether Aria	村野さやか	5100	5200	7000	590	dr				100	
char_1032	Oracle Étude	村野さやか	0	0	0	0	dr				0	
char_1032	17th Birthday	村野さやか	4800	4800	4800	480	dr2				100	
char_1033	Dream Believers	大沢瑠璃乃	5500	4500	4000	520	ur				100	
char_1033	夏めきペイン	大沢瑠璃乃	5500	4300	4000	540	ur				100	
char_1033	yours ever	大沢瑠璃乃	5000	4550	4450	520	ur				100	
char_1033	アイデンティティ	大沢瑠璃乃	4800	5100	4400	490	ur				100	
char_1033	宇宙警察★うさぴょん	大沢瑠璃乃	4800	5400	4000	500	ur				100	
char_1033	Trick ＆ Cute	大沢瑠璃乃	5100	3700	5600	480	ur				100	
char_1033	コットン=ユートピア	大沢瑠璃乃	3900	5500	4600	520	ur				100	
char_1033	プチパティシエール	大沢瑠璃乃	5400	4900	4300	460	ur				100	
char_1033	Link to the FUTURE	大沢瑠璃乃	6000	5500	4200	550	ur				100	
char_1033	ハクチューアラモード	大沢瑠璃乃	5600	4500	3900	520	ur				100	
char_1033	ミルク	大沢瑠璃乃	4700	5400	4000	510	ur				100	
char_1033	蓮ノ空歌留多	大沢瑠璃乃	3850	4700	5550	510	ur				100	
char_1033	Colorfulness	大沢瑠璃乃	4300	4800	5600	450	ur				100	
char_1033	悠久の舞踏会	大沢瑠璃乃	3600	6500	4300	480	ur				100	
char_1033	みらくりえーしょん	大沢瑠璃乃	4700	5800	3500	520	ur				100	
char_1033	織姫草紙	大沢瑠璃乃	3950	4700	5750	480	ur				100	
char_1033	DEEPNESS	大沢瑠璃乃	4350	4200	6050	460	ur				100	
char_1033	ファンファーレ！！！	大沢瑠璃乃	5450	5050	3800	490	ur				100	
char_1033	紅葉乃舞姫	大沢瑠璃乃	5000	5400	3900	490	ur				100	
char_1033	ジョーショーキリュー	大沢瑠璃乃	3900	4000	6000	530	ur				100	
char_1033	聖夜譚	大沢瑠璃乃	4600	5200	4500	490	ur				100	
char_1033	AURORA FLOWER	大沢瑠璃乃	5300	5300	5300	530	ur				100	
char_1033	WAWO!	大沢瑠璃乃	4150	6000	4250	480	ur				100	
char_1033	アイドゥーミー！	大沢瑠璃乃	5800	5300	4900	520	ur				100	
char_1033	Very! Very! COCO夏っ	大沢瑠璃乃	5400	5050	3750	500	ur				100	
char_1033	ニャオシグニャル	大沢瑠璃乃	3300	4700	6200	500	ur				100	
char_1033	一生に夢が咲くように	大沢瑠璃乃	6050	4700	3550	490	ur				100	
char_1033	眺望の地平から	大沢瑠璃乃	4100	6300	3800	500	ur				100	
char_1033	バイタルサイン	大沢瑠璃乃	6050	4300	4050	480	ur				100	
char_1033	Prism Echo	大沢瑠璃乃	5600	6000	5200	640	dr				100	
char_1033	Ether Aria	大沢瑠璃乃	5200	6900	5400	570	dr				100	
char_1033	Oracle Étude	大沢瑠璃乃	5800	4500	7000	590	dr				100	
char_1033	17th Birthday	大沢瑠璃乃	4800	4800	4800	480	dr2				100	
char_1033	18th Birthday	大沢瑠璃乃	4800	4800	4800	480	dr2				100	
char_1041	Dream Believers	百生吟子	4200	4700	5300	500	ur				100	
char_1041	Reflection in the mirror	百生吟子	5400	4850	4200	475	ur				100	
char_1041	青嵐の鯉流し	百生吟子	4900	5600	4000	470	ur				100	
char_1041	Bloom the smile, Bloom the dream!	百生吟子	4000	6200	4300	470	ur				100	
char_1041	アオクハルカ/華	百生吟子	3900	4000	6000	530	ur				100	
char_1041	PASSION!!!!!!	百生吟子	4000	5300	4950	495	ur				100	
char_1041	月夜見海月	百生吟子	4400	4900	5500	440	ur				100	
char_1041	Link to the FUTURE	百生吟子	6300	5700	4000	520	ur				100	
char_1041	ハナムスビ	百生吟子	6100	4600	3600	490	ur				100	
char_1041	蓮ノ空歌留多	百生吟子	4100	4700	5500	490	ur				100	
char_1041	AURORA FLOWER	百生吟子	5300	5300	5300	530	ur				100	
char_1041	ユメワズライ	百生吟子	5200	4600	4600	480	ur				100	
char_1041	輝跡の舞踏会	百生吟子	3600	5600	5100	490	ur				100	
char_1041	Celebration!	百生吟子	6000	4600	3900	470	ur				100	
char_1041	37.5℃のファンタジー	百生吟子	5600	5100	3700	480	ur				100	
char_1041	フルーツパンチ	百生吟子	6400	4800	3100	490	ur				100	
char_1041	可惜夜花火	百生吟子	3700	5000	5600	490	ur				100	
char_1041	蒼のツバメ	百生吟子	5200	5700	3500	480	ur				100	
char_1041	一生に夢が咲くように	百生吟子	5900	4800	3600	490	ur				100	
char_1041	乙女詞華集	百生吟子	5000	5900	3200	510	ur				100	
char_1041	Ether Aria	百生吟子	4600	6500	6200	590	dr				100	
char_1041	Oracle Étude	百生吟子	4400	5900	7100	580	dr				100	
char_1041	16th Birthday	百生吟子	4800	4800	4800	480	dr2				100	
char_1041	17th Birthday	百生吟子	4800	4800	4800	480	dr2				100	
char_1042	Dream Believers	徒町小鈴	5300	4550	4350	500	ur				100	
char_1042	Sparkly Spot	徒町小鈴	4800	4300	5450	465	ur				100	
char_1042	レディバグ	徒町小鈴	3700	4600	5700	520	ur				100	
char_1042	Bloom the smile, Bloom the dream!	徒町小鈴	3900	6100	4500	470	ur				100	
char_1042	レディバグ/麗	徒町小鈴	3400	6000	4700	510	ur				100	
char_1042	Proof	徒町小鈴	5100	5900	3400	480	ur				100	
char_1042	Link to the FUTURE	徒町小鈴	6400	5500	4100	520	ur				100	
char_1042	バアドケージ	徒町小鈴	3700	5800	5100	460	ur				100	
char_1042	蓮ノ空歌留多	徒町小鈴	4200	4750	5450	480	ur				100	
char_1042	AURORA FLOWER	徒町小鈴	5300	5300	5300	530	ur				100	
char_1042	COMPASS	徒町小鈴	4350	4900	5400	455	ur				100	
char_1042	探求の舞踏会	徒町小鈴	5700	5000	3900	460	ur				100	
char_1042	Her-bath-rium	徒町小鈴	5600	5200	3700	470	ur				100	
char_1042	アンペア	徒町小鈴	4500	3900	6200	460	ur				100	
char_1042	アイマイメーデー	徒町小鈴	3500	5100	5800	480	ur				100	
char_1042	太陽であれ！	徒町小鈴	3400	5500	5600	470	ur				100	
char_1042	一生に夢が咲くように	徒町小鈴	5800	4550	3950	490	ur				100	
char_1042	Ether Aria	徒町小鈴	6500	6200	4800	570	dr				100	
char_1042	Oracle Étude	徒町小鈴	5900	7200	4200	590	dr				100	
char_1042	16th Birthday	徒町小鈴	4800	4800	4800	480	dr2				100	
char_1043	Dream Believers	安養寺姫芽	4850	5450	4000	490	ur				100	
char_1043	アイデンティティ	安養寺姫芽	4600	5400	4500	470	ur				100	
char_1043	青嵐の鯉流し	安養寺姫芽	4850	5550	4100	470	ur				100	
char_1043	みらくりえーしょん	安養寺姫芽	4500	6000	3500	520	ur				100	
char_1043	みらくりえーしょん/雅	安養寺姫芽	6000	4800	3300	510	ur				100	
char_1043	PASSION!!!!!!	安養寺姫芽	4000	5300	5000	490	ur				100	
char_1043	ファンファーレ！！！	安養寺姫芽	5800	4900	3700	480	ur				100	
char_1043	Link to the FUTURE	安養寺姫芽	6250	5450	4200	530	ur				100	
char_1043	104/⊿TRiEDGE	安養寺姫芽	4150	4250	5800	500	ur				100	
char_1043	蓮ノ空歌留多	安養寺姫芽	4100	4500	5600	500	ur				100	
char_1043	全方位キュン♡	安養寺姫芽	4700	5700	3600	520	ur				100	
char_1043	邂逅の舞踏会	安養寺姫芽	4800	4400	5200	480	ur				100	
char_1043	Her-bath-rium	安養寺姫芽	5500	5200	3700	480	ur				100	
char_1043	WAWO!	安養寺姫芽	4200	6100	4100	480	ur				100	
char_1043	BLAST!!	安養寺姫芽	3100	5900	5200	500	ur				100	
char_1043	Very! Very! COCO夏っ	安養寺姫芽	5500	4900	3800	500	ur				100	
char_1043	ニャオシグニャル	安養寺姫芽	3400	4800	6000	500	ur				100	
char_1043	バイタルサイン	安養寺姫芽	6100	4200	4100	480	ur				100	
char_1043	Ether Aria	安養寺姫芽	5500	5800	6200	570	dr				100	
char_1043	Oracle Étude	安養寺姫芽	4400	7000	6100	570	dr				100	
char_1043	16th Birthday	安養寺姫芽	4800	4800	4800	480	dr2				100	
char_1043	17th Birthday	安養寺姫芽	4800	4800	4800	480	dr2				100	
char_1051	Dream Believers	桂城泉	4000	5400	5100	470	ur				100	
char_1051	Retrofuture	桂城泉	3800	5000	5500	490	ur				100	
char_1051	天地黎明	桂城泉	5900	5200	3300	480	ur				100	
char_1051	蒼のツバメ	桂城泉	5150	5850	3400	480	ur				100	
char_1051	フュージョンクラスト	桂城泉	3200	5700	5500	480	ur				100	
char_1051	片翼のトリバガ	桂城泉	3000	5500	5900	480	ur				100	
char_1051	Oracle Étude	桂城泉	0	0	0	0	dr				0	
char_1052	Dream Believers	セラス	4000	5500	5000	470	ur				100	
char_1052	Retrofuture	セラス	3750	5100	5450	490	ur				100	
char_1052	十六夜セレーネ	セラス	3800	4400	6100	490	ur				100	
char_1052	天地黎明	セラス	5800	5400	3200	480	ur				100	
char_1052	フュージョンクラスト	セラス	3400	5700	5300	480	ur				100	
char_1052	片翼のトリバガ	セラス	3000	5600	5800	480	ur				100	
char_1052	Oracle Étude	セラス	7200	4300	5900	580	dr				100	
char_1052	16th Birthday	セラス	4800	4800	4800	480	dr2				100	
